height, algo, pow_hash, timestamp, bits
1, skein, 01afa4ea7bc9f155f9496877c458693ede572a26aa2dfc3e4def57c262ffff44, 1545971570, 20023fff
2, skein, 013cc699c990992439871487896664798ff94b9f6123622ed9a6a62afa2ad153, 1545971578, 20013fff
3, cryptonight7v2, 0056491a7c0c17ec6985b48b9c3fdb4b9020ef62d539a98a29349bd43516668c, 1545971584, 20023fff
4, stribog, 000bcc8cc57306d915c0a3bd6f76c9263c784048480f3413e11c966ee9a782a7, 1545971593, 20023fff
5, stribog, 00e3254df746cf68b47f296c90cef132449327e79504c4fa57a09574edec296d, 1545971599, 20013fff
6, blake14lr, 00af600ae1956ddb721f292c10a0d8ba67fe05711a7446ffb3ea8c060b83750a, 1545971610, 20023fff
7, keccak, 0104d827b4acb998f862c9af315e0bffb76ac6aabb510d1fd2a634db614b6749, 1545971629, 20023fff
8, blake14lr, 0136c1c71ba11d1b220d833cdf73b79fd569c15c2672c66379e4d2f85c77d953, 1545971644, 20013fff
9, x11, 003fb3aa066ff15f644d8c9a5472d1dfbd04f335b52dc7c44ae594b27f099023, 1545971659, 20023fff
10, x11, 00289a3b3455ff6d6c430413f007d1aad0cbad8ddf2aff72b615c3623ec20fa7, 1545971660, 20013fff
11, stribog, 00262b6ab37d20ccf81b6597f0696a0cbfccb3ff37f17139b6b621d193b1e38b, 1545971689, 1f6aaa55
12, scrypt, 005e907135f917cd2edf76eee79080d59fd8552fa743bdacc502f0f4c6b1b5fc, 1545971704, 20023fff
13, lyra2rev2, 010ab259039a40a6d891a430dc9c3deb764104f4bb83dec5f6f8a2504c5adc3d, 1545971719, 20023fff
14, lyra2rev2, 00fb94dec446e166354a2edaf25086cbd642ceb63f93af279717fe7c10db16dc, 1545971727, 20013fff
15, keccak, 013c749af63d7c4f0017d835ec90dbd94624e5403aa78b82d96c368e613d6743, 1545971734, 20013fff
16, x11, 0055bec69790ede6928f0655c03b6b58a669f30cadabe02c74662ab90fb6f308, 1545971749, 1f7cf36b
17, sha256d, 01004eebd44fc3161cd7416e1a215f1478b9a845822cf6c2c8abb52a6e834d3b, 1545971764, 20023fff
18, skein, 00838c2015fec8ff9b416902eea84a3164137f30a0dcf1e5fb981850296b294c, 1545971779, 2000e8cc
19, cryptonight7v2, 00a511a7fa64a17d60ec57f3220f5d22567e4bb312ca97e2cfa5f3f0f4b4fd70, 1545971794, 20013fff
20, cryptonight7v2, 007e1f70e9fdf0aa382506902f88dcfb4b05f36335bd861f6684639fc5254d06, 1545971798, 200084bd
21, scrypt, 00f19e1f932be7918a6f00f70ca240db14d6216647f0e43c9a8316aff8ed6968, 1545971809, 20013fff
22, sha256d, 005c69f17c8e3d064f75fdc8d8afdf452c867e915c9d8bf77b26c800719cf947, 1545971824, 20013fff
23, lyra2rev2, 0044c064cf6a7c2aba1ca6b43ef775450c6d2be91f00d8647f2aa079bdfbd406, 1545971839, 20008103
24, cryptonight7v2, 000afc6a63645136cb9be62af6c83bb6cc2a32c86439571b15b004b3f26c87e1, 1545971869, 1f349501
25, keccak, 0010bb225426e20bbd5e3a508bf858476cabf093dee3a68488f702fc34370d92, 1545971884, 1f16c91a
26, cryptonight7v2, 00070970910f6ce0483b68d39437d1aecc844f48e0a56d56cbca769647c9fa0c, 1545972244, 1f09efe1
27, keccak, 00080c7c1e4e5fccd1924214b01bba1a2e8c6e7834eb0bc516e5bc3309cf7482, 1545972499, 1f08ee19
28, skein, 0009d1ab801cd8ebe261015832de04533380460c38ec75169b4c4903f0378f23, 1545972514, 1f0aa2cd
29, cryptonight7v2, 00083f428452e280b1aef4c6ebd16d787a8a1309bf1d71de8955343aaf9c01d7, 1545972574, 1f0c653d
30, lyra2rev2, 000bf499183dac3138c8a1e2e28069da02a9561e3b57127beae928a1e9226624, 1545972634, 1f0ed0c6
31, blake14lr, 000fdf227bba3cd488fef34833fcf89ceb5ce456c7abcdb14606b1a73af41c2f, 1545972680, 1f121e84
32, cryptonight7v2, 000df9ecdb3642209f0a0c404ee0f932836449a858fe094db6aed13a3dcc0eda, 1545972694, 1f1658d6
33, sha256d, 0004e42d8c7c1d0eeb26ee501025199e593f9379b92e960346bb7a65d70957b7, 1545972829, 1f1b0236
34, x11, 0015b617e393f260851c6ae49895a600d2e14b5452fbd772d585d81e860a3d81, 1545972874, 1f236bb3
35, skein, 0007f8cafc60d105d959e48854c5ee2ef10708666d84d172ffe3ffb44212ee7d, 1545972904, 1f2fc53d
36, x11, 000944e0c11c78fa25c83530d43b7282eee3c02763c54f8a2b60b3b5667363d0, 1545972919, 1f4e9192
37, cryptonight7v2, 004ec45952145da6658fe1c6f5ad352a71ec0d409e83da3080e7077d131d2599, 1545972934, 1f64f126
38, skein, 008a61c32b32b1d21986dc81203e3d94836739349894cca59121f5ae648acfe3, 1545972949, 20009bb0
39, x11, 006600bbcd8aa542ce7e651040274749b8cb335a2fb74c944a2caa7c84928343, 1545972964, 2000ee8c
40, blake14lr, 003bb8b32f917540ff6dfb2249333e2dd012b3f7f44f3363f31775d591b12dca, 1545972980, 2001f4ab
41, blake14lr, 00a664a44945e40d5a94bd571ce9bcdba45f7860d103b48275421309a2412133, 1545972983, 20023fff
